"","Mon_Risk_50_500_R","Mon_Ambig_50_800_R","Mon_Risk_50_1200_R","Mon_Risk_25_2500_R","Mon_Ambig_50_2500_R","Mon_Ambig_74_500_B","Mon_Risk_25_800_B","Mon_Risk_75_800_B","Mon_Ambig_50_800_B","Mon_Risk_50_1200_B","Mon_Ambig_24_1200_B","Mon_Risk_25_2500_B","Mon_Ambig_100_2500_G","Mon_Risk_25_500_R","Mon_Risk_25_800_R","Mon_Risk_75_800_R","Mon_Ambig_100_800_G","Mon_Risk_75_1200_R","Mon_Ambig_24_1200_R","Mon_Ambig_100_2500_G.1","Mon_Ambig_100_500_G","Mon_Ambig_100_800_G.1","Mon_Ambig_74_1200_B","Mon_Risk_50_2500_B","Mon_Risk_75_2500_B","Mon_Risk_75_500_R","Mon_Ambig_24_800_R","Mon_Ambig_74_1200_R","Mon_Ambig_100_1200_G","Mon_Risk_75_2500_R","Mon_Ambig_50_500_B","Mon_Ambig_74_800_B","Mon_Ambig_100_1200_G.1","Mon_Ambig_24_2500_B","Mon_Ambig_50_2500_B","Mon_Ambig_74_2500_B","Mon_Ambig_24_500_R","Mon_Risk_50_800_R","Mon_Ambig_74_800_R","Mon_Risk_25_1200_R","Mon_Ambig_50_1200_R","Mon_Risk_50_2500_R","Mon_Ambig_24_2500_R","Mon_Ambig_74_2500_R","Mon_Risk_50_800_B","Mon_Ambig_24_800_B","Mon_Risk_25_1200_B","Mon_Risk_75_1200_B","Mon_Ambig_50_1200_B"
"1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","0"
"2","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4","0","1","1","1","1","0","1","1","1","1","1","1","1","0","1","1","1","1","1","1","0","1","1","1","1","0","1","1","1","1","0","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1"
"5","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6","1","0","0","1","0","0","1","1","0","1","0","1","1","1","0","0","1","1","1","0","1","1","0","0","0","0","0","1","0","0","0","0","1","1","1","1","0","1","1","0","0","0","1","0","0","1","0","1","1"
"7","0","0","1","0","1","0","0","0","0","0","0","0","1","0","0","0","0","1","0","1","0","0","0","1","1","0","0","0","0","1","0","0","0","1","1","1","0","0","0","0","0","1","1","1","0","0","0","1","0"
"8","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"9","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0"
"12","0","1","1","0","1","0","0","1","1","1","1","0","1","0","0","1","1","1","1","1","0","1","1","1","1","0","1","1","1","1","0","0","1","1","1","1","0","0","0","0","1","1","1","1","0","0","0","1","1"
"13","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","1","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","1","1","1","0","0","0","0","0","0"
"14","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"16","0","0","0","0","1","0","0","0","0","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","1","1","1","0","0","0","0","0","1","1","0","0","0","0","1","1"
"18","1","1","1","1","1","0","0","0","0","0","1","0","0","0","0","0","0","1","1","0","0","0","1","1","1","1","1","1","0","1","0","1","0","1","0","0","1","1","1","1","1","1","1","1","0","1","0","1","1"
"19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","1","1","0","0","0","0","1","0"
"20","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0"
"21","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","1","1","0","0","0","0","1","0","0","0","1","1","1","0","0","0","0","1","1","1","1","0","0","0","1","1"
"22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"23","0","0","1","0","1","0","0","1","0","1","0","0","0","0","0","0","0","1","1","0","0","0","0","1","1","0","0","0","0","1","0","0","0","1","1","0","0","0","0","0","1","1","1","1","0","0","0","1","0"
"24","0","0","1","0","1","0","0","1","0","0","0","0","1","0","0","1","1","1","1","1","0","0","0","1","1","0","0","0","1","1","0","0","1","1","1","1","0","0","0","0","1","1","1","1","1","0","0","1","1"
"25","0","0","1","1","1","0","0","1","0","1","1","1","1","0","1","1","0","1","1","1","0","0","1","1","1","0","0","1","1","1","0","0","1","1","1","1","0","0","0","0","1","1","1","1","0","0","0","1","1"
"26","0","0","1","1","1","0","0","1","0","1","1","1","0","0","0","1","0","1","1","1","0","0","0","1","1","0","0","0","0","1","0","0","0","1","1","1","0","0","0","0","1","1","1","1","0","0","0","1","1"
"27","0","0","0","0","1","0","0","1","0","0","0","0","1","0","0","1","0","1","0","1","0","0","0","1","1","0","0","0","0","1","0","0","0","1","1","1","0","0","0","1","0","1","1","1","0","0","0","1","0"
"28","0","0","0","0","1","0","0","0","0","1","1","0","1","0","0","0","0","1","1","1","0","0","1","1","1","0","0","1","1","1","0","0","0","1","1","1","0","0","0","0","1","1","1","1","0","0","0","1","1"
"29","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","1","0","0","0","0","1","0","0","0","1","1","1","0","0","0","0","1","1","0","0","0","0","0","1","0"
"30","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"31","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1","0","1","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"32","0","0","1","0","1","0","0","1","0","1","0","0","1","0","0","1","0","1","0","0","0","0","1","1","1","0","0","0","0","1","0","0","0","1","1","1","0","0","0","0","1","1","1","1","0","0","0","0","0"
"33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"34","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","1","0"
"35","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","1","0","1","0","0","0","1","1","0","0","0","0","1","1","1","1","1","1","1","0","0","0","0","0","1","1","1","1","0","0","1","1"
"36","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"37","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"38","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0"
"39","0","0","1","0","0","0","0","1","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","1","0"
"40","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"41","0","0","1","0","0","0","1","1","0","1","1","1","0","0","0","1","0","1","1","0","0","0","0","1","1","0","1","0","0","0","0","0","0","1","1","0","1","0","0","0","1","1","0","1","1","1","0","1","0"
"42","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0"
"43","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"44","0","0","1","0","1","0","0","0","0","0","1","0","1","0","0","0","0","1","1","1","0","0","1","1","1","0","0","1","1","1","0","0","0","1","1","1","0","0","0","0","1","1","1","1","0","0","0","1","1"
"45","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0"
"46","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0"
"47","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"48","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"49","0","0","0","1","1","0","0","0","0","1","1","1","1","0","0","0","0","1","1","1","0","0","0","1","1","0","0","0","0","1","0","0","0","1","1","1","0","0","0","0","1","1","1","1","0","0","0","1","0"
"50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"51","0","0","0","1","1","0","0","0","0","1","0","1","1","0","0","0","0","1","1","1","0","0","0","1","1","0","0","0","1","1","0","0","1","1","1","1","0","0","0","0","0","1","1","0","0","0","0","1","0"
"52","0","0","1","0","0","0","0","1","1","1","1","0","0","0","0","1","0","1","1","0","0","0","0","1","1","0","1","0","0","1","0","0","0","1","1","1","0","1","0","0","1","1","1","1","0","1","1","1","1"
"53","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"54","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"55","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","1","1","0","0","0","0","1","0"
"56","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0"
"57","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","1","1","0","0","0","0","0","0"
"58","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"59","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0"
"60","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","1","1","0","0","0","0","1","0","0","0","1","1","0","0","0","0","1","0","1","1","0","0","0","0","1","0"
"61","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"62","0","0","1","0","1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","0","0","0","1","1","0","0","0","0","0","0","1","1","0","0","0","0","1","0"
"63","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","0","0","0","1","0","0","0","1","1","0","0","0","0","0","0","1","1","0","0","0","0","1","0"
"64","0","0","1","1","1","0","0","1","0","1","1","0","1","0","0","0","0","0","0","1","0","0","1","1","1","0","0","0","0","1","0","0","1","1","1","0","0","0","0","0","1","1","1","1","0","0","0","1","0"
"65","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"66","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"67","0","0","1","1","1","0","0","1","0","1","0","1","1","0","0","1","0","1","1","1","0","0","1","1","1","0","0","1","1","1","0","0","1","1","1","1","0","0","0","0","1","1","1","1","0","0","0","1","1"
"68","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"69","0","0","0","0","1","0","0","1","0","1","0","0","0","0","0","1","0","1","0","0","0","0","0","1","1","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","1","1","0","0","0","0","1","0"
"70","0","0","1","0","1","0","0","0","0","1","1","0","1","0","0","0","0","1","1","1","0","0","0","1","1","0","0","0","0","1","0","0","0","1","1","1","0","0","0","0","0","1","1","1","0","0","0","1","0"
"71","0","0","1","0","1","0","0","1","0","1","1","0","1","0","0","1","0","1","1","1","0","0","1","1","1","0","0","0","1","1","0","0","0","1","1","0","0","0","0","0","1","1","1","1","0","0","1","1","1"
"72","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"74","0","0","1","1","1","0","0","1","0","1","1","1","1","0","0","1","0","1","1","1","0","0","0","1","1","0","0","0","0","1","0","0","0","1","1","1","0","0","0","0","0","1","1","0","0","0","0","1","1"
"75","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","0","0","0","1","0","0","0","1","1","0","0","0","0","0","0","1","1","0","0","0","0","1","0"
"76","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"77","0","0","1","1","1","0","0","1","0","1","1","1","0","0","0","1","0","1","1","0","0","0","0","1","1","0","0","0","0","1","0","0","0","1","1","0","0","0","0","0","1","1","1","1","0","0","0","1","1"
"78","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"79","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"80","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","1","1","1","0","0","1","1","1","0","0","1","0","1","0","0","0","1","1","1","0","0","0","0","0","0","1","1","0","0","0","1","0"
"81","0","1","1","1","1","0","1","1","1","1","1","1","1","0","1","1","1","1","1","1","0","1","1","1","1","0","1","1","1","1","0","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1"
"82","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"83","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","1","0","1","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0"
"84","0","0","0","0","1","1","0","1","1","0","0","0","0","0","0","1","0","1","0","0","0","0","1","0","0","0","0","1","0","1","0","0","0","0","0","1","0","0","1","0","1","0","0","1","0","0","0","1","1"
"85","0","0","1","1","1","0","0","1","0","1","1","0","1","0","0","1","0","1","1","1","0","0","1","1","1","0","0","1","1","1","0","0","1","1","1","1","0","0","0","0","1","1","1","1","0","0","0","1","1"
"86","0","0","0","1","1","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","1","1","0","0","0","0","1","0","0","0","1","1","0","0","0","0","0","0","1","1","0","0","0","0","1","0"
"87","0","0","1","0","1","0","0","1","0","1","0","1","0","0","0","1","0","1","1","0","0","0","0","1","1","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","1","1","1","0","0","0","0","1","0"
